,Androgen,EGFR,Estrogen,Hypoxia,JAK-STAT,MAPK,NFkB,PI3K,TGFb,TNFa,Trail,VEGF,WNT,p53,cell_type,disease,sample
S_2103_004163_C-TAL,3.9416705435704973,-3.969388037182602,-0.39181491047493705,3.883760035511522,0.5793093066094068,-3.7314665054788594,-1.745203613639426,-5.051970490900008,-0.23601476932161458,1.2860925830426586,-2.2472397856483757,-1.6874889853958082,-1.0614769416550587,-8.995430872501373,C-TAL,Type 1 Diabetes,S_2103_004163
S_2103_004181_C-TAL,4.087902819624851,-4.244984471150786,-0.7065568657013955,4.081026202426354,0.11761167057726049,-4.813399534089745,-1.9910518232646572,-7.142055587752217,0.2249956067433351,1.4435062456923813,-2.268160458750324,-2.1129322824278884,-0.9733891118246123,-8.97208113829331,C-TAL,Type 1 Diabetes,S_2103_004181
S_2107_023520_C-TAL,4.0343844636699195,-5.22280395847571,-0.5359179825406578,4.821957742015429,-0.4618133018315146,-3.782459746485889,-2.2215821620917087,-5.120230187116955,0.1316625489271487,1.671878641234775,-3.0059997080944085,-1.8153949282119457,-1.383621402029293,-9.698072356602033,C-TAL,Type 1 Diabetes,S_2107_023520
S_2107_023538_C-TAL,4.155603732832869,-4.475193674163106,-0.03266837605818935,4.345890367455998,-0.3054142949260121,-5.107756584430065,-1.8254325675931302,-5.815031408744858,-0.15307700278282343,1.2542329537508292,-2.37336554236675,-2.138619677107012,-1.189840229635679,-9.823343841780812,C-TAL,Lean Control,S_2107_023538
S_2107_023547_C-TAL,3.92815502949654,-5.016125809944226,-1.0733137579218148,4.291486284792268,-0.7215768621739371,-4.989388515065796,-2.236019462906319,-6.720638848110695,0.5358002411132743,1.5669011465966958,-2.5364566219452973,-2.1538303601758892,-0.8568318528291775,-9.319146106111361,C-TAL,Type 1 Diabetes,S_2107_023547
S_2107_023556_C-TAL,5.240648964819329,-6.031140703024187,-0.29105884843856117,4.623112176026745,-1.0262137124908095,-3.678899809503688,-1.8740273423862484,-3.827346688916275,0.1697259812595458,1.1570749364083661,-3.1119360711306308,-2.1003779212236613,-1.045169517423543,-10.83251995194738,C-TAL,Lean Control,S_2107_023556
S_2107_023592_C-TAL,4.318762473240989,-3.9353665492216154,-1.5866253305030127,3.5606050171151358,1.3699189242677081,-3.5786526054226004,-1.7558062442456814,-6.133227910517986,-1.2050968449093502,2.2330058573815195,-2.254370501321914,-2.390726627191858,-1.6546812051069582,-9.22536953339314,C-TAL,Type 1 Diabetes,S_2107_023592
S_2107_023610_C-TAL,4.336187571647575,-4.548598661376433,-0.1465474541917113,5.1586594128111205,-0.7344704077929793,-4.548658748239554,-1.3049935779837234,-6.469921831880248,-0.4499898656249954,0.7058759638741009,-2.5086414826415604,-1.9386720240184117,-1.311631095902084,-9.605503666368529,C-TAL,Type 1 Diabetes,S_2107_023610
S_2107_023619_C-TAL,3.700803773027981,-4.897433752001677,-0.4676590565305151,5.047446706242256,-0.10403112397007465,-4.582849246596632,-1.678106013506562,-5.795563697442405,-0.29513426268167725,1.2366304950092368,-2.56914134663683,-1.9006371319727549,-1.4487634094700779,-9.330086841417506,C-TAL,Lean Control,S_2107_023619
S_1907_004567_CCD-IC-A,4.245952518196057,-0.8547031840939285,-3.548780704536214,2.7442671385204536,1.292429145560711,-6.528766898030385,-2.463950965802442,-7.925241854022774,1.760297684990603,2.0034809227322232,-1.686732106534319,-0.8177340902484367,-0.9400521348812103,-7.9395360647541935,CCD-IC-A,Type 1 Diabetes,S_1907_004567
